PMC articles to fetch: 4809
  [1/4809] done=1 skip=0 fail=0  PMC12702337
  [2/4809] done=2 skip=0 fail=0  PMC12171811
  [3/4809] done=3 skip=0 fail=0  PMC10652202
  [4/4809] done=4 skip=0 fail=0  PMC11298932
  [5/4809] done=5 skip=0 fail=0  PMC13045675
  [100/4809] done=97 skip=3 fail=0  PMC8888980
  [200/4809] done=196 skip=4 fail=0  PMC11462054
  [300/4809] done=295 skip=5 fail=0  PMC9076960
  [400/4809] done=391 skip=9 fail=0  PMC10160526
  [500/4809] done=490 skip=10 fail=0  PMC11731217
  [600/4809] done=589 skip=11 fail=0  PMC13199650
  [700/4809] done=687 skip=13 fail=0  PMC11786727
  [800/4809] done=785 skip=15 fail=0  PMC12546868
  [900/4809] done=884 skip=16 fail=0  PMC10148223
  [1000/4809] done=981 skip=19 fail=0  PMC11383923
  [1100/4809] done=1078 skip=22 fail=0  PMC13101702
  [1200/4809] done=1178 skip=22 fail=0  PMC12664051
  [1300/4809] done=1277 skip=23 fail=0  PMC6409382
  [1400/4809] done=1377 skip=23 fail=0  PMC6314586
  [1500/4809] done=1477 skip=23 fail=0  PMC5137180
  [1600/4809] done=1577 skip=23 fail=0  PMC7397403
  [1700/4809] done=1677 skip=23 fail=0  PMC12139504
  [1800/4809] done=1777 skip=23 fail=0  PMC6318100
  [1900/4809] done=1877 skip=23 fail=0  PMC12063113
  [2000/4809] done=1977 skip=23 fail=0  PMC8563685
  [2100/4809] done=2077 skip=23 fail=0  PMC11999577
  [2200/4809] done=2177 skip=23 fail=0  PMC10993177
  [2300/4809] done=2277 skip=23 fail=0  PMC12765115
  [2400/4809] done=2377 skip=23 fail=0  PMC10186481
  [2500/4809] done=2476 skip=24 fail=0  PMC6072971
  [2600/4809] done=2576 skip=24 fail=0  PMC9678760
  [2700/4809] done=2676 skip=24 fail=0  PMC4472849
  [2800/4809] done=2776 skip=24 fail=0  PMC7551356
  [2900/4809] done=2876 skip=24 fail=0  PMC13123394
  [3000/4809] done=2976 skip=24 fail=0  PMC6330366
  [3100/4809] done=3075 skip=25 fail=0  PMC8374698
  [3200/4809] done=3175 skip=25 fail=0  PMC5602879
  [3300/4809] done=3275 skip=25 fail=0  PMC12648481
  [3400/4809] done=3375 skip=25 fail=0  PMC8933839
  [3500/4809] done=3474 skip=26 fail=0  PMC6479069
  [3600/4809] done=3574 skip=26 fail=0  PMC13273894
  [3700/4809] done=3674 skip=26 fail=0  PMC12887181
  [3800/4809] done=3774 skip=26 fail=0  PMC5928594
  [3900/4809] done=3874 skip=26 fail=0  PMC4312459
  [4000/4809] done=3974 skip=26 fail=0  PMC12560848
  [4100/4809] done=4074 skip=26 fail=0  PMC11292133
  [4200/4809] done=4173 skip=27 fail=0  PMC12067307
  [4300/4809] done=4272 skip=28 fail=0  PMC12645214
  [4400/4809] done=4372 skip=28 fail=0  PMC11825299
  [4500/4809] done=4472 skip=28 fail=0  PMC11238111

Done. fetched=4501 skipped=308 failed=0
